quechua,normalizado,variantes,categoria,traduccion,definicion_completa
chunkañiqi,chunkañiqi,"chunkañiqi, chinkañiqin",adj.,"Décimo, -ma","Décimo, -ma."
chunkañiqin,chunkañiqin,chunkañiqin,adj. y s.,Décimo,Décimo.
chunku,chunku,chunku,s.,"Corrillo, reunión de personas que forman grupo aparte","Corrillo, reunión de personas que forman grupo aparte. | Grupo de espectadores."
chunku,chunku,chunku,s.,fam. Con esta palabra manifestamos nuestro cariño y ternura,fam. Con esta palabra manifestamos nuestro cariño y ternura.
chunta ruru,chunta ruru,chunta ruru,s.,"Fruto de la chonta, comestible","Fruto de la chonta, comestible."
chunta,chunta,chunta,s.,"Palmera. Árbol de la familia de las palmáceas, cuya madera se emplea en bastones, en la fabricación de arcos de flecha y en otros objetos de adorno","Palmera. Árbol de la familia de las palmáceas, cuya madera se emplea en bastones, en la fabricación de arcos de flecha y en otros objetos de adorno."
chuntay,chuntay,chuntay,tr.,Calentar la merienda,Calentar la merienda. | Recalentar un alimento al rescoldo.
chuntur,chuntur,chuntur,s.,Kiosco. Quiosco,Kiosco. Quiosco.
chupa,chupa,chupa,s.,Cola. Rabo,Cola. Rabo.
chupi,chupi,chupi,s.,"Sopa de patata, carne, verduras y otros condimentos","Sopa de patata, carne, verduras y otros condimentos."
chupi,chupi,chupi,s.,Almuerzo que se toma al mediodía o a primeras horas de la tarde,Almuerzo que se toma al mediodía o a primeras horas de la tarde.
chupila,chupila,"chupila, chupi",s.,"despect. Vagina, órgano genital de la mujer","despect. Vagina, órgano genital de la mujer."
chupullu,chupullu,chupullu,s.,"Tataranieto. Respecto de una persona, hijo de su nieto, nieta, biznieto o biznieta","Tataranieto. Respecto de una persona, hijo de su nieto, nieta, biznieto o biznieta."
chuqa,chuqa,chuqa,s.,"Ave palmípeda de color negro, de cuello corto y sin cola, que abunda en las altas lagunas","Ave palmípeda de color negro, de cuello corto y sin cola, que abunda en las altas lagunas."
chuqana,chuqana,chuqana,adj.,"Arrojadizo, cosa que se puede arrojar","Arrojadizo, cosa que se puede arrojar."
chuqay,chuqay,"chuqay, wikch'uy, ch'amqay",tr.,"Arrojar, botar","Arrojar, botar. | Despedir. Acompañar por cortesía al que sale de un lugar. Kacharpariy, kacñarpayay. | Despedir del empleo. Qarquy, qharquy, wikch'uy."
chuqi illa,chuqi illa,"chuqi illa, lliphi, illapa",s.,Relámpago. Luz vivísima producida por una descarga eléctrica en las nubes,Relámpago. Luz vivísima producida por una descarga eléctrica en las nubes. | Chispa. Pinchi.
chuqi tiyana,chuqi tiyana,chuqi tiyana,s.,Depósito de mineral natural,"Depósito de mineral natural. | Depósito. Lugar en que se pone productos secos, troje. Pirwa. | Edificio depósito. Qullqa. | Cosa en que se pone, lugar u objeto para guardar. Churana."
chuqi,chuqi,chuqi,s.,"Oro puro, oro fino. chuqin tullu (JL). fig. adj. Fatuo, tua. Presumido, presuntuoso, vano","Oro puro, oro fino. chuqin tullu (JL). fig. adj. Fatuo, tua. Presumido, presuntuoso, vano."
chuqllu,chuqllu,chuqllu,s.,Choclo. Mazorca de maíz,Choclo. Mazorca de maíz.
chuqllunka,chuqllunka,"chuqllunka, wayunka",s.,Racimo de banano,Racimo de banano. | Racimo. Conjunto de frutas que pende de un eje común. Kintu.
chuqru,chuqru,chuqru,adj.,Seco y duro,Seco y duro.
chuqupi,chuqupi,"chuqupi, inchis",s.,Maní. Cacahuete,Maní. Cacahuete.
churana wasi,churana wasi,churana wasi,s.,Despensa. Casa donde se guarda las cosas comestibles,Despensa. Casa donde se guarda las cosas comestibles.
churana,churana,"churana, khatana",s.,Alacena. Armario hecho en la pared,Alacena. Armario hecho en la pared.
churana,churana,churana,s.,"Cosa en que se pone, lugar u objeto para guardar","Cosa en que se pone, lugar u objeto para guardar. | Depósito. Lugar en que se pone, troje. Pirwa. | Depósito de mineral natural. Chuqi tiyana. | Edificio depósito. Qullqa."
churatay,churatay,churatay,tr.,"Colocar, poner como de paso y a la ligera","Colocar, poner como de paso y a la ligera."
churay,churay,churay,tr.,Poner. Colocar,"Poner. Colocar. | Poner al revés. Tikray, jawanay. | Poner hacia el interior. Ukhunay. | Pone la olla al fogón. Churpuy."
churchu,churchu,"churchu, rirq'u, lirq'u",adj.,"Bisojo, -ja. Bizco","Bisojo, -ja. Bizco."
churchuy,churchuy,"churchuy, rirq'uy, lirq'uy",intr.,Bizcar. Torcer la vista al mirar,Bizcar. Torcer la vista al mirar.
churi qutu,churi qutu,churi qutu,s.,El que tiene muchos hijos varones,El que tiene muchos hijos varones.
churi,churi,churi,s.,Hijo del hombre. Descendiente varón y con relación sólo con el progenitor,Hijo del hombre. Descendiente varón y con relación sólo con el progenitor.
churichakuy,churichakuy,churichakuy,tr. y prnl.,Adoptar por hijo,Adoptar por hijo.
churichasqa,churichasqa,churichasqa,adj.,Dícese del hijo adoptivo,Dícese del hijo adoptivo.
churinnaq,churinnaq,churinnaq,adj. y s.,El que no tiene hijos varones,El que no tiene hijos varones.
churiyay,churiyay,"churiyay, yumay",tr.,"Engendrar. Procrear, producir hijos, generar, dar existencia a seres semejantes","Engendrar. Procrear, producir hijos, generar, dar existencia a seres semejantes."
churiyuq,churiyuq,churiyuq,adj. y s.,El que tiene uno o varios hijos varones. churkuy. Levantar el bulto y hacer cargar a alguien que va a llevarlo,El que tiene uno o varios hijos varones. churkuy. Levantar el bulto y hacer cargar a alguien que va a llevarlo.
churpuy,churpuy,churpuy,tr.,Poner la olla al fogón,"Poner la olla al fogón. | Poner. Colocar. Churay. | Poner al revés. Tikray, jawanay. | Poner hacia el interior. Ukhunay."
chusi,chusi,"chusi, mant'a, mast'a",s.,Alfombra. Tapiz para cubrir el piso,Alfombra. Tapiz para cubrir el piso.
chusi,chusi,chusi,s.,Alfombra,Alfombra. | Tejido que se extiende sobre algún mueble.
chusichay,chusichay,"chusichay, mast'ay",tr.,Alfombrar. Cubrir con alfombra,Alfombrar. Cubrir con alfombra.
chuska,chuska,chuska,s.,Pata de cuadrúpedo desde el cubito hasta el pie,Pata de cuadrúpedo desde el cubito hasta el pie. | Pata. Pie y pierna de los animales. Chaki.
chusku,chusku,chusku,adj.,fam. Sordo: Chusku qhaparina. Sonido sordo,fam. Sordo: Chusku qhaparina. Sonido sordo.
chusmi,chusmi,"chusmi, puqusqa",adj.,Maduro,Maduro.
chusu,chusu,"chusu, uchha",s.,Bosta. Estiércol de animales caballares,"Bosta. Estiércol de animales caballares. | Estiércol barroso de los corrales. Khara. | Boñiga, estiércol de ganado vacuno. Q'awa."
chutay,chutay,chutay,tr.,"Estirar con fuerza, prolongar tirando","Estirar con fuerza, prolongar tirando. | Estirar. Alargar o arrastrar. Aysay. | intr. Estirar o abrir la boca. Janllay."
chutu,chutu,chutu,s.,neol. Pantalón o pantalones,neol. Pantalón o pantalones.
chutu,chutu,chutu,s.,Corto. Se aplica a piezas de vestir. Chutu pantalu: pantalón corto (JH),Corto. Se aplica a piezas de vestir. Chutu pantalu: pantalón corto (JH).
chuwa,chuwa,"chuwa, p'uku",s.,Escudilla. Vasija ancha y de forma de media esfera. Plato de madera,Escudilla. Vasija ancha y de forma de media esfera. Plato de madera.
chuwi lawa,chuwi lawa,chuwi lawa,adj.,"fam. Avaro, tacaño, roñoso","fam. Avaro, tacaño, roñoso."
chuwi,chuwi,chuwi,s.,"Frijol. Fréjol, judía. palatal","Frijol. Fréjol, judía. palatal."
chhacha,chhacha,chhacha,s.,"Empellón, sacudida violenta que se da a una persona","Empellón, sacudida violenta que se da a una persona."
chhachay,chhachay,chhachay,tr.,"Empellar, dar empellones, sacudir con empellones. chhachu, thantulli, llachapa. adj. Harapiento, -ta. Andrajoso","Empellar, dar empellones, sacudir con empellones. chhachu, thantulli, llachapa. adj. Harapiento, -ta. Andrajoso."
chhachu,chhachu,chhachu,adj.,"Velludo, -da. Que tiene mucho vello. Peludo, lanudo","Velludo, -da. Que tiene mucho vello. Peludo, lanudo."
chhachuy,chhachuy,chhachuy,tr.,Envejecer la ropa hasta volverla astrosa,Envejecer la ropa hasta volverla astrosa.
chhachuyay,chhachuyay,chhachuyay,intr.,Crecer en demasía el vello o la lana,Crecer en demasía el vello o la lana. | Volverse astrosa por el uso la ropa.
chhakcha,chhakcha,chhakcha,s.,Pedo o ventosidad sin ruido,Pedo o ventosidad sin ruido.
chhakchay,chhakchay,chhakchay,intr.,"Ventosear quedamente, expeler ventosidades mudas","Ventosear quedamente, expeler ventosidades mudas."
chhaku,chhaku,chhaku,s.,"Manotada, manotazo que obliga a soltar lo que se tiene en la mano","Manotada, manotazo que obliga a soltar lo que se tiene en la mano."
chhakuchiy,chhakuchiy,chhakuchiy,tr.,Hacer soltar de la mano,Hacer soltar de la mano. | Quitar violentamente una cosa.
chhala,chhala,chhala,adj.,"fig. Barato, -ta. De poco precio. Chaninnaq, pisi chaniyuq","fig. Barato, -ta. De poco precio. Chaninnaq, pisi chaniyuq."
chhalakiy,chhalakiy,chhalakiy,tr.,Regatear. Discutir el precio,Regatear. Discutir el precio.
chhalay,chhalay,"chhalay, yankiy",tr.,"Canjear. Trocar, cambiar, efectuar canjes. chhalay. fig. tr. Baratear. Dar una cosa por menos de su precio","Canjear. Trocar, cambiar, efectuar canjes. chhalay. fig. tr. Baratear. Dar una cosa por menos de su precio."
chhalla,chhalla,"chhalla, llamsa, chhallalla",adj.,"Liviano, -na. De poco peso","Liviano, -na. De poco peso."
chhalla,chhalla,chhalla,adj.,"Liviano, ligero","Liviano, ligero."
chhalla,chhalla,chhalla,s.,"Espatas y tallos secos del maíz, haba u otros cereales","Espatas y tallos secos del maíz, haba u otros cereales."
chhallachaq,chhallachaq,"chhallachaq, jasachaq",adj.,"Aliviador. Que alivia. chhallachay, chhallayachiy. tr. Alivianar. Aliviar, disminuir la carga, el peso o dolor","Aliviador. Que alivia. chhallachay, chhallayachiy. tr. Alivianar. Aliviar, disminuir la carga, el peso o dolor. | prnl. Alivianarse. Llamsayay."
chhallcha,chhallcha,chhallcha,adj.,"Hirviente, dícese del agua que hierve. Que está en ebullición","Hirviente, dícese del agua que hierve. Que está en ebullición."
chhallcha,chhallcha,chhallcha,s.,Desgaste de la ropa en los bordes,Desgaste de la ropa en los bordes.
chhallchariy,chhallchariy,chhallchariy,intr.,"Empezar a hervir, comenzar un hervor vivo y agitado","Empezar a hervir, comenzar un hervor vivo y agitado."
chhallchay,chhallchay,chhallchay,tr.,Desgastar los bordes de la ropa,"Desgastar los bordes de la ropa. | intr. Hervir vivamente, mantenerse en pleno hervor."
chhallchi,chhallchi,chhallchi,s.,Acción de agitar un líquido dentro de un recipiente para lavarlo,Acción de agitar un líquido dentro de un recipiente para lavarlo.
chhallchiy,chhallchiy,chhallchiy,tr.,Agitar un recipiente con agua al lavarlo,Agitar un recipiente con agua al lavarlo.
chhallmay,chhallmay,chhallmay,tr.,"Empellar, empeller","Empellar, empeller. | intr. Desgranarse, derramarse los granos del tallo. chhallu kay, qhaprayay, qhapra kay,"
khapu kay,khapu kay,khapu kay,s.,Fragilidad,Fragilidad.
chhallukuy,chhallukuy,"chhallukuy, t'unakuy",intr.,Fracasar. Romperse una cosa,"Fracasar. Romperse una cosa. | fig. Frustrarse. Qulluy, qullupuy."
chhalluna,chhalluna,"chhalluna, khapu, qhapra",adj.,"Frágil. Quebradizo, débil. chhalluy. T'ustuy. tr. Trillar. Quebrantar la mies para separar el grano de la paja","Frágil. Quebradizo, débil. chhalluy. T'ustuy. tr. Trillar. Quebrantar la mies para separar el grano de la paja."
chhalluy,chhalluy,chhalluy,tr.,Destrozar cosas que se rompen con el sonido de cristal,Destrozar cosas que se rompen con el sonido de cristal.
chhama,chhama,chhama,adj. y s.,Dícese de la harina mal molida,Dícese de la harina mal molida. | Residuo del cernido de la harina.
chhamchi,chhamchi,chhamchi,s.,Maíz machacado para hacer comer a los pollitos,Maíz machacado para hacer comer a los pollitos.
chhamchiy,chhamchiy,chhamchiy,tr.,Triturar maíz y preparar para el alimento de los pollitos,Triturar maíz y preparar para el alimento de los pollitos.
chhamri,chhamri,"chhamri, ch'ampa",adj.,"Enmarañado, dícese del hilo enredado. Chhamri juñi: Madeja enmarañada","Enmarañado, dícese del hilo enredado. Chhamri juñi: Madeja enmarañada."
chhamullu,chhamullu,chhamullu,adj.,"Andrajoso, harapiento","Andrajoso, harapiento."
chhanaku,chhanaku,chhanaku,s.,"Acto sexual inmoral, coito ilícito propio de gente prostituta","Acto sexual inmoral, coito ilícito propio de gente prostituta."
chhancha,chhancha,chhancha,adj.,"Dícese de la ropa envejecida, deshilachada","Dícese de la ropa envejecida, deshilachada."
chhanka,chhanka,chhanka,s.,"Risco, farellón","Risco, farellón."
chhankapayay,chhankapayay,chhankapayay,tr.,Palpar insistentemente y con suavidad como acariciando,Palpar insistentemente y con suavidad como acariciando.
chhankasqa warmi,chhankasqa warmi,chhankasqa warmi,s.,Mujer que perdió la virginidad,Mujer que perdió la virginidad.
chhankay,chhankay,chhankay,tr.,"Palpar, tocar suavemente","Palpar, tocar suavemente."
chhanki,chhanki,chhanki,s.,"Quimba, contoneo al andar o bailar","Quimba, contoneo al andar o bailar."
chhankiy,chhankiy,chhankiy,intr.,"Contonearse, quimbear, andar o bailar con quimba","Contonearse, quimbear, andar o bailar con quimba."
chhanqa aqu,chhanqa aqu,chhanqa aqu,s.,"Cascajo, guijo","Cascajo, guijo."
chhanqa,chhanqa,"chhanqa, chaqwa",s.,Cascajo. Guijo,Cascajo. Guijo.
chhanqa,chhanqa,chhanqa,adj.,Granulado,"Granulado. | Cereal mal molido. | Tosco, áspero."
chhapa,chhapa,chhapa,s.,Afrecho. Salvado,Afrecho. Salvado.
chhapchaykachay,chhapchaykachay,chhapchaykachay,intr.,Ir disfrutando de placeres por uno y otro lado,Ir disfrutando de placeres por uno y otro lado.
chhapchiy,chhapchiy,"chhapchiy, thalay",tr.,"Sacudir, zarandear","Sacudir, zarandear."
chhapllatay,chhapllatay,chhapllatay,tr.,Enturbiar el agua chapaleando,Enturbiar el agua chapaleando.
chhapllay,chhapllay,"chhapllay, ch'allpaqiy",intr.,Sonar el agua batida por los pies o las manos,Sonar el agua batida por los pies o las manos.
chhapu chhapu,chhapu chhapu,chhapu chhapu,adj.,Accidentado. Terreno escabroso,Accidentado. Terreno escabroso.
chhapu chhapu,chhapu chhapu,chhapu chhapu,s.,Hora en que empieza a alborear el día,Hora en que empieza a alborear el día.
chhapu,chhapu,chhapu,s.,"Flecadura, conjunto de flecos en los bordes de algunos tejidos","Flecadura, conjunto de flecos en los bordes de algunos tejidos."
chhapukucha,chhapukucha,chhapukucha,s.,Taza muy grande de arcilla,Taza muy grande de arcilla.
chhapuy,chhapuy,chhapuy,tr.,"Amasar, mezclar harina u otra materia semejante con agua u otro líquido","Amasar, mezclar harina u otra materia semejante con agua u otro líquido."
chhapuy,chhapuy,chhapuy,tr. e intr.,Sopar. Empapar en agua,Sopar. Empapar en agua. | Chapuzar. Meter a uno de cabeza en el agua. P'ulltiy.
chhaqa,chhaqa,"chhaqa, chhaqi",s.,Fogón improvisado,Fogón improvisado.
chhaqay,chhaqay,"chhaqay, chhaqiy, churpuy",tr.,Colocar la olla sobre el fogón,Colocar la olla sobre el fogón.
chhaqlla,chhaqlla,chhaqlla,s.,Palo o conjunto de palos que se emplean en empalizadas o en techos,Palo o conjunto de palos que se emplean en empalizadas o en techos.
chhaqllachay,chhaqllachay,chhaqllachay,tr.,Construir empalizadas,"Construir empalizadas. | techar con ramas delgadas de árboles. chhaqray (<A). tr. Peinar el cabello las mujeres con la peineta rústica. chhaqriy, chhachay. Thalay,"
thalaykachay,thalaykachay,thalaykachay,tr.,"Zamarrear. Sacudir, zarandear a un lado y a otro","Zamarrear. Sacudir, zarandear a un lado y a otro."
chhaqru,CHAQRU,"chhaqru, CHAQRU",adj. y s.,"Mezcla de diferentes cosas. chhaqruy, CHAQRUY, mich'uy, piqtuy. tr. Entreverar. Mezclar sin orden distintas cosas","Mezcla de diferentes cosas. chhaqruy, CHAQRUY, mich'uy, piqtuy. tr. Entreverar. Mezclar sin orden distintas cosas."
chhari,chhari,chhari,s.,Falta de continuidad o uniformidad en un espacio determinado,Falta de continuidad o uniformidad en un espacio determinado.
chharpa,chharpa,chharpa,adj.,"fam. Chambón, de escasa habilidad","fam. Chambón, de escasa habilidad."
chharpu,chharpu,"chharpu, rankhi rankhi",s.,Crepúsculo. Transición entre el día y la noche,"Crepúsculo. Transición entre el día y la noche. | Crepúsculo matutino. Sut'iyay, yuraqyay, paqariy. | Crepúsculo vespertino. Ch'isiyay, tutayay, rankhi."
chharpu,chharpu,chharpu,adj.,"Cegato, corto de vista","Cegato, corto de vista."
chharpuchay,chharpuchay,chharpuchay,tr.,Oscurecer y hacer sombra,"Oscurecer y hacer sombra. | Ofuscar. Deslumhrar, turbar la vista. Surump'iy. | Ocasionar deslumbramiento y ofuscación. Surump'ichiy. | Cegar. Tutiy, tutiyachiy. chhasa, thasa. s, Ventosidad suave, sin ruido."
chhasay,chhasay,chhasay,intr.,Peer sin ruido,Peer sin ruido.
chhaspa,chhaspa,chhaspa,s.,fig. Escamosidad. Aspereza que se presenta en la piel por sequedad cutánea seguida de escoriación o escamosidades,fig. Escamosidad. Aspereza que se presenta en la piel por sequedad cutánea seguida de escoriación o escamosidades.
chhata,chhata,chhata,adj. y s.,Dícese de la persona paupérrimamente vestida,Dícese de la persona paupérrimamente vestida.
chhaway,chhaway,chhaway,s.,Troje de barro,Troje de barro.
chhawkriy,chhawkriy,chhawkriy,tr.,Sacudir la tierra de la hierba descuajada,Sacudir la tierra de la hierba descuajada.
chhicha,chhicha,chhicha,s.,Zapato de planta muy gruesa,Zapato de planta muy gruesa.
chhichay kamayuq,chhichay kamayuq,chhichay kamayuq,s.,Zapatero que fabrica zapatos de planta muy gruesa,Zapatero que fabrica zapatos de planta muy gruesa.
chhichay,chhichay,chhichay,tr.,Fabricar zapatos de planta muy gruesa,Fabricar zapatos de planta muy gruesa.
chhichika,chhichika,chhichika,s.,Lezna del zapatero,Lezna del zapatero.
chhichiy,chhichiy,chhichiy,intr.,"Musitar. Susurrar, murmurar","Musitar. Susurrar, murmurar."
chhichiy,chhichiy,chhichiy,tr.,"Musitar, susurrar, decir al oído","Musitar, susurrar, decir al oído."
chhika,chhika,"chhika, achkha, yupa",adj.,"Mucho, -cha. Abundante, excesivo","Mucho, -cha. Abundante, excesivo."
chhika,chhika,chhika,adj.,"Tanto, -ta. Se aplica cantidad o número indeterminado, como correlativo de cuanto","Tanto, -ta. Se aplica cantidad o número indeterminado, como correlativo de cuanto."
chhika,chhika,chhika,s.,"Porción. Tanto, parte tomada de una cosa","Porción. Tanto, parte tomada de una cosa."
chhikan kay,chhikan kay,"chhikan kay, chhikan kay",s.,Grandeza. Calidad de grande,Grandeza. Calidad de grande.
chhikan,chhikan,chhikan,s. y adj.,"Tamaño. Magnitud de una cosa. chhikankaray, jatunkaray. adj. Agigantado. De estatura mucho mayor de lo regular. chhikanyachiy, jatunyachiy. tr. Agigantar. Dar proporciones gigantescas. chhiki. Maqllu. s. Peligro. Riesgo inminente","Tamaño. Magnitud de una cosa. chhikankaray, jatunkaray. adj. Agigantado. De estatura mucho mayor de lo regular. chhikanyachiy, jatunyachiy. tr. Agigantar. Dar proporciones gigantescas. chhiki. Maqllu. s. Peligro. Riesgo inminente."
chhiki musquy,chhiki musquy,chhiki musquy,s.,Pesadilla,Pesadilla.
chhiki,chhiki,"chhiki, maqllu",s.,Riesgo. Proximidad de un daño,Riesgo. Proximidad de un daño.
